,key,value
0,A,Amber
1,AA,Airtoair
2,AAA,Amended
3,AAA,Amended meteorological message
4,AAD,Assigned altitude deviation
5,AAIM,Aircraft autonomous integrity monitoring
6,AAL,Above aerodrome level
7,AAR,Air to air refueling
8,ABI,Advance boundary information
9,ABM,Abeam
10,ABN,Aerodrome beacon
11,ABT,About
12,ABV,Above
13,AC,Altocumulus
14,AC*,Aircraft
15,ACARS,Aircraft communication addressing and reporting
16,ACARS,Aircraft communication addressing and reporting system
17,ACAS,Airborne collision avoidance system
18,ACAS,Airborne collision avoidance system pronouncedAYCAS
19,ACC,Area control centre or area control
20,ACCID,Notification of an aircraft accident
21,ACFT,Aircraft
22,ACK,Acknowledge
23,ACL,Altimeter check location
24,ACN,Aircraft classification number
25,ACP,Acceptance
26,ACPT,Accept or accepted
27,ACT,Active or activated or activity
28,AD,Aerodrome
29,ADA,Advisory area
30,ADC,Aerodrome chart
31,ADDN,Addition or additional
32,ADF,Automatic directionfinding equipment
33,ADIZ,Air defence
34,ADIZ,Air defence identification zone
35,ADJ,Adjacent
36,ADO,Aerodrome office
37,ADR,Advisory route
38,ADS,Address
39,ADS,Address repetition the question mark precedes the
40,IMI,ADS
41,IMI,ADS abbreviation e g IMI ADS
42,IMI,ADS abbreviation e g IMI ADS procedure signal
43,ADSB,Automatic dependent surveillancebroadcast
44,ADSC,Automatic dependent surveillancecontract
45,ADSU,Automatic dependent surveillance unit
46,ADVS,Advisory service
47,ADZ,Advise
48,AES,Aircraft earth station
49,AFIL,Flight plan filed in the air
50,AFIS,Aerodrome flight information service
51,AFM,Yes or affirm or affirmative or that is correct
52,AFS,Aeronautical fixed service
53,AFT,After
54,AFTN,Aeronautical fixed telecommunication network
55,AG,Airtoground
56,AGA,Aerodromes air routes and ground aids
57,AGC*,Aerodrome ground movement chart
58,AGC*,Aerodrome ground movement chart and nametitle
59,AGL,Above ground level
60,AGN,Again
61,AIC,Aeronautical information circular
62,AIDC,Air traffic services interfacility data communications
63,AIM,Aeronautical information management
64,AIP,Aeronautical information publication
