key,value
A,Amber
AA,Airtoair
AAA,Amended
AAA,Amended meteorological message
AAD,Assigned altitude deviation
AAIM,Aircraft autonomous integrity monitoring
AAL,Above aerodrome level
AAR,Air to air refueling
ABI,Advance boundary information
ABM,Abeam
ABN,Aerodrome beacon
ABT,About
ABV,Above
AC,Altocumulus
AC*,Aircraft
ACARS,Aircraft communication addressing and reporting
ACARS,Aircraft communication addressing and reporting system
ACAS,Airborne collision avoidance system
ACAS,Airborne collision avoidance system pronouncedAYCAS
ACC,Area control centre or area control
ACCID,Notification of an aircraft accident
ACFT,Aircraft
ACK,Acknowledge
ACL,Altimeter check location
ACN,Aircraft classification number
ACP,Acceptance
ACPT,Accept or accepted
ACT,Active or activated or activity
AD,Aerodrome
ADA,Advisory area
ADC,Aerodrome chart
ADDN,Addition or additional
ADF,Automatic directionfinding equipment
ADIZ,Air defence
ADIZ,Air defence identification zone
ADJ,Adjacent
ADO,Aerodrome office
ADR,Advisory route
ADS,Address
ADS,Address repetition the question mark precedes the
IMI,ADS
IMI,ADS abbreviation e g IMI ADS
IMI,ADS abbreviation e g IMI ADS procedure signal
ADSB,Automatic dependent surveillancebroadcast
ADSC,Automatic dependent surveillancecontract
ADSU,Automatic dependent surveillance unit
ADVS,Advisory service
ADZ,Advise
AES,Aircraft earth station
AFIL,Flight plan filed in the air
AFIS,Aerodrome flight information service
AFM,Yes or affirm or affirmative or that is correct
AFS,Aeronautical fixed service
AFT,After
AFTN,Aeronautical fixed telecommunication network
AG,Airtoground
AGA,Aerodromes air routes and ground aids
AGC*,Aerodrome ground movement chart
AGC*,Aerodrome ground movement chart and nametitle
AGL,Above ground level
AGN,Again
AIC,Aeronautical information circular
AIDC,Air traffic services interfacility data communications
AIM,Aeronautical information management
AIP,Aeronautical information publication
AIRAC,Aeronautical information regulation and control
AIREP,Airreport
AIRMET,Information concerning enroute weather phenomena
AIRMET,Information concerning enroute weather phenomena which may affect the safety of lowlevel aircraft
AIRMET,Information concerning enroute weather phenomena which may affect the safety of lowlevel aircraft operations
AIS,Aeronautical information services
ALA,Alighting area
ALERFA,Alert phase
ALR,Alerting
ALRS,Alerting service
ALS,Approach lighting system
ALSTG*,Altimeter setting
ALT,Altitude
ALTN,Alternate
ALTN,Alternate or alternating
AMA,Area minimum altitude
AMD,Amend or amended
AMD,Amend or amended meteorological message message type designator
AMDT,Amendment
AMS,Aeronautical mobile service
AMSL,Above mean sea level
AMSS,Aeronautical mobile satellite service
ANC,Aeronautical chartâ€?
ANC,Aeronautical chartâ€?nametitle
ANCS,Aeronautical navigation chartâ€”small scale
ANCS,Aeronautical navigation chartâ€”small scale by nametitle and scale
ANS,Answer
AO,Aircraft operator
AOC,Aerodrome obstacle chart
AOC,Aerodrome obstacle chart nametitle
AOR*,Area of responsibility
